"doctors_cardiology_id","first_name","last_name","date_of_birth","address","phone_number","specialization"
1,"Daniel","Potts","1998-09-03","PSC 2978, Box 0327
APO AP 91930","389-658-3788x126","Cardiology"
2,"Jose","Esparza","2023-11-09","896 Derek Mountains Suite 176
Kristinchester, NY 26101","(233)852-7667","Cardiology"
3,"Douglas","Miller","1912-07-17","0417 Margaret Squares Suite 172
Lake Cynthiaton, WA 74883","(628)292-9097","Cardiology"
4,"Melissa","Martinez","1939-05-30","9175 Zimmerman Corner Apt. 896
Bishopport, FM 57557","626-311-3631x018","Cardiology"
5,"Jeffrey","Bates","1929-02-12","74228 Wright Shores
Nancystad, MH 97324","926.426.2814","Cardiology"
6,"Shelby","Lewis","2010-02-26","Unit 0547 Box 4391
DPO AA 94892","297.541.1211","Cardiology"
7,"Cassandra","Martin","1937-03-27","581 Tammy Freeway
Port Margaret, ID 71623","993.673.5446","Cardiology"
8,"Aaron","Lewis","1997-04-19","972 Cassandra Road
Carolynside, CT 80305","428.584.4396","Cardiology"
9,"Katrina","Wright","1942-07-10","9156 Michelle Freeway
New Robertport, HI 81005","(870)605-8745x392","Cardiology"
10,"Elaine","Gordon","2019-09-30","772 Kyle Gateway Suite 952
Hebertberg, CA 69233","+1-509-215-2942","Cardiology"
