"doctors_dermatology_id","first_name","last_name","date_of_birth","address","phone_number","specialization"
1,"Lori","Webb","1954-07-13","118 Micheal Drive
Churchbury, MO 01328","553.835.0480x741","Dermatology"
2,"Joseph","Williams","1979-12-27","4355 James Points
Heidibury, UT 75671","420.704.5260","Dermatology"
3,"Michael","Alexander","2013-11-20","942 John Mill Apt. 813
Gonzalezland, DC 97856","700-402-2666","Dermatology"
4,"Jeremy","Harrison","1960-05-04","887 Patrick Coves
Sandraburgh, SD 43215","+1-727-919-0054x401","Dermatology"
5,"Stacey","Sanchez","1965-08-19","3856 Latasha Grove Suite 733
Summershire, WA 71886","658.793.8974x2214","Dermatology"
6,"Jacqueline","Glass","1935-10-28","960 Stephen Mountains
Perrychester, DE 91458","353.948.5701x573","Dermatology"
7,"Joseph","Wilson","1957-06-01","203 Clark Square Suite 112
Jimenezport, NM 08719","+1-420-879-3781x8045","Dermatology"
8,"Tracey","Rogers","1929-11-05","USS Tran
FPO AA 68789","001-330-525-8184x9472","Dermatology"
9,"James","Young","1962-05-22","USS Moore
FPO AP 71811","+1-609-980-0970x921","Dermatology"
10,"Ann","Cruz","1978-06-30","Unit 7180 Box 6750
DPO AP 38540","(968)505-7480","Dermatology"
