"doctors_gastroenterology_id","first_name","last_name","date_of_birth","address","phone_number","specialization"
1,"Anthony","Sanchez","1959-09-11","6911 Kevin Route Suite 184
Wilsonton, WA 17675","+1-930-855-4141x023","Gastroenterology"
2,"Stephen","Watts","1973-10-03","854 Marisa Mountain
North Christina, MN 18019","302-687-2300x073","Gastroenterology"
3,"Richard","Sellers","1961-02-08","9612 Harris Gardens
Randyton, MA 40550","001-374-289-1217x4852","Gastroenterology"
4,"Michael","Whitney","1968-01-29","89153 Anderson Haven
Lake Dana, IL 05898","881-212-4260x1953","Gastroenterology"
5,"Michael","Lloyd","1912-05-10","13946 Phelps Greens Apt. 829
Robinsonview, VT 52127","237-412-5857","Gastroenterology"
6,"Monique","Moss","1947-05-27","1442 James Parkway Suite 957
Nealport, DC 85386","+1-799-711-0135x053","Gastroenterology"
7,"Cathy","Hays","1950-03-05","23776 Mcclure Corners Apt. 246
Lake Johnnystad, OH 60712","3536460333","Gastroenterology"
8,"David","Davis","1989-05-11","030 Mary Port Suite 123
Kelseyborough, MA 66897","661.470.6297","Gastroenterology"
9,"Christina","Foster","1999-12-21","Unit 5384 Box 8272
DPO AP 75014","+1-405-766-4913","Gastroenterology"
10,"Donna","Rivera","1995-02-09","884 Kathy Brooks Apt. 952
Lake Sabrina, IA 59524","(589)402-4909","Gastroenterology"
